Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6137.600458,5326.752856,3136.724283,2958.880372,3200.896495,3480.755937,3717.335765,3879.17938,4211.512768,4406.967067,4589.00825,5044.116478,5731.353466,6569.260234,7299.400019,8362.90084,9525.231468,10898.84838,11727.48213,10143.23508,10438.56419,10990.1771,11796.27412,12194.01895,12667.37573,13112.76009,13192.99407,14243.8749,15037.04524,16215.3608,15052.93598,15921.70528,17886.17839,19402.75109,20078.7849
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21074.57644,21424.29119,21330.27319,22051.43732,23081.66391,21639.60206,22597.31451,23350.30939,23996.1144,24462.2034,25547.61203,24014.77546,23958.16381,25136.00169,26303.6179,27692.63487,30827.34168,33245.26786,32756.30678,28405.69009,25826.60864,25023.91745,25592.90661,25206.84583,25557.52491,25734.15164,26627.71454,27199.19524,28878.60677,29651.86415,23930.6715,25745.49581,27941.78515,28474.04442,29561.80743
Australia,AUS,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36205.27479,35610.07759,35364.42775,36469.67058,37557.84093,38585.17268,39592.53621,40699.1182,42174.53524,43813.00267,45013.00995,45338.68343,46609.74418,47500.83512,48980.89318,49914.51464,50602.35025,51562.09401,52351.58705,52254.32273,52589.81821,53112.53287,54237.59191,54699.35162,55288.11534,55691.69885,56341.51816,56684.64733,57450.38104,57837.06069,57059.74364,58182.33695,59883.64704,60461.1564,60082.00579
Austria,AUT,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43310.91399,44356.43346,44789.39308,44655.58307,45552.60714,46696.3935,47666.6739,48634.38003,50277.92116,52067.93489,53599.60933,54098.0257,54631.60085,54986.74357,56048.48089,56959.63812,58531.50979,60544.63404,61232.54902,58882.14187,59803.37263,61346.95947,61451.5491,60937.25691,60919.84071,61025.99945,61647.77947,62612.13993,63855.78168,64688.14382,60349.90228,62968.94223,65661.45219,64394.09052,63314.46279
Azerbaijan,AZE,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10776.0677,10559.21193,8050.216241,6097.486222,4830.699402,4211.721143,4223.52297,4425.588235,4822.160185,5133.74812,5656.929893,6168.98511,6701.081737,7329.406051,7937.85948,10054.10034,13371.65849,16587.36571,17963.02077,19242.39,19925.3901,19358.07779,19523.37371,20398.64619,20709.20162,20678.75396,19822.41059,19659.00485,19781.85091,20101.4919,19126.09685,20111.3757,21051.24424,21310.73866,22072.10583
Burundi,BDI,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396.077627,1435.819561,1412.060546,1366.292153,1305.45208,1132.218782,1040.922315,1024.449954,1052.807034,1017.497778,988.0368635,983.3968467,998.561289,955.6692044,965.2041181,938.3815973,954.1908539,951.2900826,957.2226644,944.6299256,947.6214173,951.1884604,958.6574029,970.3753918,977.7658403,918.5571929,897.4590464,880.9934401,868.5555076,855.7327201,833.9202575,836.6655713,829.3871596,828.5829499,835.6208592
Belgium,BEL,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41658.42927,42264.71433,42737.89556,42161.78895,43388.40976,44330.17699,44828.29314,46416.47128,47226.13606,48787.28151,50477.99413,50857.82474,51494.56179,51811.69235,53430.25402,54370.87038,55392.05003,57008.60139,56812.79044,55283.08634,56265.01535,56610.26701,56381.68884,56287.99766,57028.05797,57534.39661,57927.04288,58555.15248,59383.87733,60506.65977,57358.83703,60669.21377,62744.203,62920.64443,63083.18437
Benin,BEN,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207.067964,2230.460547,2226.56666,2254.245654,2215.366168,2300.141221,2337.630308,2399.785931,2419.100143,2470.685044,2536.168859,2591.064852,2630.18061,2639.043701,2672.844044,2632.472515,2652.21842,2729.137414,2777.61974,2758.072432,2733.573996,2732.012496,2779.726481,2893.046702,2987.382363,2952.002183,2962.663816,3041.7793,3155.451065,3281.104701,3317.859722,3464.288629,3588.325199,3721.212548,3901.325885
Burkina Faso,BFA,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.855905,1178.077046,1152.044761,1162.649235,1148.607214,1183.52861,1280.696085,1326.942308,1385.093107,1444.566902,1428.574006,1477.284918,1494.678013,1561.833102,1581.256209,1664.995432,1714.760349,1731.930463,1779.327109,1779.323056,1873.971462,1939.8666,2003.664612,2057.063932,2083.198447,2101.702662,2162.72579,2232.287815,2316.394321,2391.536268,2380.931718,2486.430931,2466.053314,2482.072253,2547.932644
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.782301,2101.38366,2174.382329,2234.810122,2279.094353,2351.703879,2413.542982,2475.595746,2555.061192,2624.065538,2712.935122,2803.55472,2866.434543,2958.915031,3071.837788,3231.613707,3407.42735,3608.915438,3787.938276,3942.136312,4125.463902,4352.426434,4592.048409,4822.726214,5068.639657,5352.711333,5682.535535,6005.707188,6392.59334,6838.326116,7015.197928,7441.06914,7888.163891,8242.39799,8486.784957
